time;;datasource_id
0;293;3
1;293;3
2;293;3
3;293;3
4;293;3
5;293;3
6;293;3
7;293;3
8;292;3
9;292;3
10;292;3
11;293;3
12;293;3
13;293;3
14;293;3
15;293;3
16;293;3
17;293;3
18;293;3
19;293;3
20;294;3
21;294;3
22;294;3
23;293;3
24;293;3
25;293;3
26;293;3
27;293;3
28;293;3
29;293;3
30;293;3
31;293;3
32;293;3
33;293;3
34;293;3
35;293;3
36;293;3
37;293;3
38;293;3
39;293;3
40;293;3
41;293;3
42;293;3
43;293;3
44;293;3
45;293;3
46;293;3
47;293;3
48;293;3
49;293;3
50;293;3
51;293;3
52;293;3
53;293;3
54;293;3
55;293;3
56;293;3
57;293;3
58;293;3
59;293;3
60;293;3
61;293;3
62;293;3
63;293;3
64;293;3
65;293;3
66;293;3
67;293;3
68;293;3
69;293;3
70;293;3
71;293;3
72;293;3
73;293;3
74;293;3
75;293;3
76;293;3
77;292;3
78;292;3
79;292;3
80;292;3
81;292;3
82;292;3
83;292;3
84;292;3
85;292;3
86;292;3
87;292;3
88;292;3
89;292;3
90;292;3
91;292;3
92;292;3
93;292;3
94;292;3
95;292;3
96;293;3
97;293;3
98;293;3
99;293;3
100;293;3
101;293;3
102;293;3
103;293;3
104;293;3
105;293;3
106;293;3
107;293;3
108;293;3
109;293;3
110;293;3
111;293;3
112;292;3
113;292;3
114;292;3
115;292;3
116;292;3
117;292;3
118;292;3
119;292;3
120;292;3
121;292;3
122;292;3
123;292;3
124;292;3
125;292;3
126;292;3
127;292;3
128;292;3
129;292;3
130;292;3
131;292;3
132;292;3
133;292;3
134;293;3
135;293;3
136;293;3
137;293;3
138;293;3
139;293;3
140;293;3
141;293;3
142;293;3
143;293;3
144;292;3
145;292;3
146;292;3
147;293;3
148;293;3
149;293;3
150;292;3
151;292;3
152;292;3
153;293;3
154;293;3
155;293;3
156;293;3
157;293;3
158;293;3
159;293;3
160;293;3
161;293;3
162;293;3
163;293;3
164;293;3
165;293;3
166;293;3
167;293;3
168;293;3
169;293;3
170;293;3
171;293;3
172;293;3
173;293;3
174;293;3
175;293;3
176;293;3
177;293;3
178;292;3
179;292;3
180;292;3
181;293;3
182;293;3
183;293;3
184;293;3
185;293;3
186;293;3
187;293;3
188;293;3
189;293;3
190;293;3
191;293;3
192;293;3
193;293;3
194;293;3
195;293;3
196;293;3
197;293;3
198;293;3
199;293;3
200;292;3
201;292;3
202;292;3
203;292;3
204;292;3
205;292;3
206;292;3
207;292;3
208;292;3
209;292;3
210;292;3
211;292;3
212;292;3
213;292;3
214;292;3
215;292;3
216;293;3
217;293;3
218;293;3
219;293;3
220;293;3
221;293;3
222;293;3
223;293;3
224;293;3
225;293;3
226;293;3
227;293;3
228;293;3
229;292;3
230;292;3
231;292;3
232;292;3
233;292;3
234;292;3
235;292;3
236;292;3
237;293;3
238;293;3
239;293;3
240;293;3
241;293;3
242;293;3
243;293;3
244;293;3
245;293;3
246;293;3
247;293;3
248;293;3
249;292;3
250;292;3
251;292;3
252;292;3
253;292;3
254;292;3
255;292;3
256;293;3
257;293;3
258;293;3
259;293;3
260;293;3
261;293;3
262;293;3
263;293;3
264;293;3
265;293;3
266;293;3
267;293;3
268;293;3
269;293;3
270;293;3
271;292;3
272;292;3
273;292;3
274;292;3
275;293;3
276;293;3
277;293;3
278;293;3
279;293;3
280;293;3
281;293;3
282;293;3
283;293;3
284;294;3
285;294;3
286;294;3
287;294;3
288;294;3
289;294;3
290;294;3
291;294;3
292;294;3
293;294;3
294;294;3
295;294;3
296;294;3
297;294;3
298;294;3
299;294;3
300;294;3
301;294;3
302;294;3
303;294;3
304;294;3
305;294;3
306;294;3
307;294;3
308;294;3
309;294;3
310;294;3
311;294;3
312;294;3
313;295;3
314;295;3
315;295;3
316;295;3
317;295;3
318;295;3
319;296;3
320;296;3
321;296;3
322;296;3
323;296;3
324;296;3
325;296;3
326;296;3
327;296;3
328;296;3
329;296;3
330;296;3
331;296;3
332;296;3
333;296;3
334;296;3
335;296;3
336;296;3
337;296;3
338;297;3
339;297;3
340;297;3
341;297;3
342;297;3
343;297;3
344;297;3
345;297;3
346;297;3
347;297;3
348;297;3
349;297;3
350;298;3
351;298;3
352;298;3
353;298;3
354;298;3
355;298;3
356;298;3
357;298;3
358;298;3
359;298;3
360;299;3
361;299;3
362;299;3
363;299;3
364;299;3
365;299;3
366;299;3
367;299;3
368;299;3
369;300;3
370;300;3
371;300;3
372;300;3
373;300;3
374;300;3
375;300;3
376;301;3
377;301;3
378;301;3
379;301;3
380;301;3
381;301;3
382;302;3
383;302;3
384;302;3
385;302;3
386;302;3
387;302;3
388;302;3
389;302;3
390;302;3
391;302;3
392;302;3
393;302;3
394;302;3
395;302;3
396;302;3
397;302;3
