time;value;datasource_id
0;293;3
1;293;3
2;293;3
3;293;3
4;293;3
5;293;3
6;293;3
7;293;3
8;293;3
9;293;3
10;293;3
11;293;3
12;293;3
13;293;3
14;293;3
15;293;3
16;293;3
17;293;3
18;293;3
19;293;3
20;293;3
21;293;3
22;293;3
23;293;3
24;293;3
25;293;3
26;293;3
27;293;3
28;293;3
29;293;3
30;293;3
31;293;3
32;293;3
33;293;3
34;293;3
35;293;3
36;293;3
37;293;3
38;293;3
39;293;3
40;293;3
41;293;3
42;293;3
43;293;3
44;293;3
45;293;3
46;293;3
47;293;3
48;293;3
49;293;3
50;293;3
51;293;3
52;293;3
53;293;3
54;293;3
55;293;3
56;293;3
57;293;3
58;293;3
59;293;3
60;293;3
61;293;3
62;293;3
63;293;3
64;293;3
65;293;3
66;293;3
67;293;3
68;293;3
69;293;3
70;293;3
71;293;3
72;293;3
73;293;3
74;293;3
75;293;3
76;293;3
77;293;3
78;293;3
79;293;3
80;293;3
81;293;3
82;293;3
83;293;3
84;293;3
85;293;3
86;293;3
87;293;3
88;293;3
89;293;3
90;293;3
91;293;3
92;293;3
93;293;3
94;293;3
95;293;3
96;293;3
97;293;3
98;293;3
99;293;3
100;293;3
101;293;3
102;293;3
103;293;3
104;293;3
105;293.0111174;3
106;293.0222348;3
107;293.0333521;3
108;293.0444693;3
109;293.0555864;3
110;293.0667035;3
111;293.0778205;3
112;293.0889374;3
113;293.1000543;3
114;293.1111711;3
115;293.1222878;3
116;293.1334045;3
117;293.144521;3
118;293.1556376;3
119;293.166754;3
120;293.1778704;3
121;293.1889867;3
122;293.2001029;3
123;293.211219;3
124;293.2223351;3
125;293.2334511;3
126;293.2445671;3
127;293.255683;3
128;293.2667988;3
129;293.2779145;3
130;293.2890302;3
131;293.3001457;3
132;293.3112613;3
133;293.3223767;3
134;293.3334921;3
135;293.3446074;3
136;293.3557226;3
137;293.3668378;3
138;293.3779529;3
139;293.3890679;3
140;293.4001829;3
141;293.4112978;3
142;293.4155018;3
143;293.4197057;3
144;293.4239096;3
145;293.4281135;3
146;293.4323174;3
147;293.4527467;3
148;293.4731759;3
149;293.4936049;3
150;293.5140338;3
151;293.5344625;3
152;293.5553419;3
153;293.5762211;3
154;293.5971002;3
155;293.6179791;3
156;293.6388579;3
157;293.6640934;3
158;293.6893288;3
159;293.714564;3
160;293.739799;3
161;293.7650338;3
162;293.7680337;3
163;293.7710335;3
164;293.7740333;3
165;293.7770331;3
166;293.7800329;3
167;293.785136;3
168;293.790239;3
169;293.795342;3
170;293.8004449;3
171;293.8055479;3
172;293.8171109;3
173;293.8286738;3
174;293.8402367;3
175;293.8517995;3
176;293.8633622;3
177;293.8867935;3
178;293.9102246;3
179;293.9336555;3
180;293.9570863;3
181;293.980517;3
182;294.0039475;3
183;294.0273779;3
184;294.0508081;3
185;294.0742382;3
186;294.0976681;3
187;294.1268068;3
188;294.1559453;3
189;294.1850837;3
190;294.2142218;3
191;294.2433598;3
192;294.2717464;3
193;294.3001329;3
194;294.3285191;3
195;294.3569052;3
196;294.3852911;3
197;294.4184843;3
198;294.4516774;3
199;294.4848702;3
200;294.5180628;3
201;294.5512552;3
202;294.588654;3
203;294.6260525;3
204;294.6634509;3
205;294.7008489;3
206;294.7382468;3
207;294.7528086;3
208;294.7673703;3
209;294.7819319;3
210;294.7964934;3
211;294.8110549;3
212;294.8374848;3
213;294.8639146;3
214;294.8903442;3
215;294.9167737;3
216;294.9432029;3
217;294.9718856;3
218;295.000568;3
219;295.0292503;3
220;295.0579324;3
221;295.0866143;3
222;295.1241599;3
223;295.1617053;3
224;295.1992505;3
225;295.2367954;3
226;295.2743401;3
227;295.3123352;3
228;295.3503301;3
229;295.3883248;3
230;295.4263192;3
231;295.4643133;3
232;295.4905889;3
233;295.5168643;3
234;295.5431395;3
235;295.5694146;3
236;295.5956895;3
237;295.6219642;3
238;295.6482388;3
239;295.6745132;3
240;295.7007874;3
241;295.7270615;3
242;295.7572415;3
243;295.7874213;3
244;295.817601;3
245;295.8477804;3
246;295.8779596;3
247;295.8995753;3
248;295.9211908;3
249;295.9428061;3
250;295.9644214;3
251;295.9860365;3
252;296.0165153;3
253;296.046994;3
254;296.0774724;3
255;296.1079507;3
256;296.1384288;3
257;296.1737142;3
258;296.2089994;3
259;296.2442843;3
260;296.2795691;3
261;296.3148536;3
262;296.3385697;3
263;296.3622857;3
264;296.3860016;3
265;296.4097173;3
266;296.4334329;3
267;296.4672141;3
268;296.500995;3
269;296.5347758;3
270;296.5685563;3
271;296.6023367;3
272;296.6379196;3
273;296.6735023;3
274;296.7090848;3
275;296.7446671;3
276;296.7802491;3
277;296.8092205;3
278;296.8381918;3
279;296.8671629;3
280;296.8961338;3
281;296.9251045;3
