time;;datasource_id
0;288.7568327;3
1;288.7214463;3
2;288.6970422;3
3;288.6525042;3
4;288.5780705;3
5;288.4993657;3
6;288.4462856;3
7;288.4499463;3
8;288.5066871;3
9;288.5933233;3
10;288.6842302;3
11;288.7495121;3
12;288.8184547;3
13;288.9105818;3
14;288.9947776;3
15;289.0881252;3
16;289.1979456;3
17;289.2876322;3
18;289.3407119;3
19;289.3370512;3
20;289.2803108;3
21;289.2070974;3
22;289.1540177;3
23;289.1375447;3
24;289.1375447;3
25;289.1241222;3
26;289.086295;3
27;289.0374857;3
28;288.9685428;3
29;288.8764157;3
30;288.7922202;3
31;288.7055843;3
32;288.6146774;3
33;288.5493951;3
34;288.5005859;3
35;288.4651992;3
36;288.4542171;3
37;288.4542171;3
38;288.4542171;3
39;288.4542171;3
40;288.4542171;3
41;288.4609284;3
42;288.479842;3
43;288.5042466;3
44;288.5353625;3
45;288.5719694;3
46;288.6018651;3
47;288.6262697;3
48;288.6439631;3
49;288.6494541;3
50;288.6628765;3
51;288.7007033;3
52;288.7495121;3
53;288.7848984;3
54;288.782458;3
55;288.7446312;3
56;288.6891112;3
57;288.6348112;3
58;288.5994246;3
59;288.57502;3
60;288.5640379;3
61;288.5774605;3
62;288.6018651;3
63;288.6262697;3
64;288.6439631;3
65;288.6494541;3
66;288.6561653;3
67;288.6750785;3
68;288.6994826;3
69;288.7171756;3
70;288.7159554;3
71;288.6970422;3
72;288.6525042;3
73;288.5780705;3
74;288.4993657;3
75;288.4194405;3
76;288.3474469;3
77;288.3065691;3
78;288.2821645;3
79;288.2510487;3
80;288.2077309;3
81;288.1589221;3
82;288.1101133;3
83;288.074727;3
84;288.063745;3
85;288.0704563;3
86;288.0893699;3
87;288.1137745;3
88;288.1381791;3
89;288.1558725;3
90;288.1613635;3
91;288.1814972;3
92;288.2382376;3
93;288.311451;3
94;288.3980869;3
95;288.4889938;3
96;288.5542761;3
97;288.5963741;3
98;288.6128472;3
99;288.5994246;3
100;288.57502;3
101;288.5573267;3
102;288.5518356;3
103;288.5518356;3
104;288.5451243;3
105;288.5262108;3
106;288.5018061;3
107;288.463979;3
108;288.4084584;3
109;288.3541581;3
110;288.2919265;3
111;288.218713;3
112;288.1589221;3
113;288.1168246;3
114;288.1003519;3
115;288.1137745;3
116;288.1381791;3
117;288.1558725;3
118;288.1613635;3
119;288.1613635;3
120;288.1546523;3
121;288.1357387;3
122;288.111334;3
123;288.1070631;3
124;288.1461101;3
125;288.2138325;3
126;288.2870459;3
127;288.3401256;3
128;288.3565986;3
129;288.3633099;3
130;288.3822235;3
131;288.4066281;3
132;288.437744;3
133;288.4743509;3
134;288.5042466;3
135;288.5286512;3
136;288.5463446;3
137;288.5518356;3
138;288.5518356;3
139;288.5384131;3
140;288.5005859;3
141;288.4517766;3
142;288.4096787;3
143;288.3932055;3
144;288.4066281;3
145;288.4243214;3
146;288.4231012;3
147;288.4041876;3
148;288.3999168;3
149;288.4389642;3
150;288.5066871;3
151;288.5933233;3
152;288.6842302;3
153;288.7495121;3
154;288.8050321;3
155;288.8593321;3
156;288.8947187;3
157;288.9191233;3
158;288.9368167;3
159;288.9423077;3
160;288.9423077;3
161;288.949019;3
162;288.9679326;3
163;288.9923372;3
164;288.996608;3
165;288.9575606;3
166;288.8898377;3
167;288.8099127;3
168;288.7379195;3
169;288.6970422;3
170;288.6659268;3
171;288.6293202;3
172;288.5994246;3
173;288.5414638;3
174;288.4292029;3
175;288.3016892;3
176;288.2333564;3
177;288.296198;3
178;288.4639789;3
179;288.6592149;3
180;288.8074723;3
181;288.870314;3
182;288.8947187;3
183;288.939257;3
184;289.0136907;3
185;289.0923951;3
186;289.1723198;3
187;289.2443131;3
188;289.2851908;3
189;289.2827504;3
190;289.2247898;3
191;289.1326628;3
192;289.0149111;3
193;288.8873977;3
194;288.7922202;3
195;288.698873;3
196;288.5890526;3
197;288.4993657;3
198;288.4261518;3
199;288.3663604;3
200;288.3309737;3
201;288.3065691;3
202;288.2553195;3
203;288.1619722;3
204;288.0588631;3
205;287.9746677;3
206;287.9417218;3
207;287.968567;3
208;288.0307986;3
209;288.1040121;3
210;288.163803;3
211;288.2327456;3
212;288.3248727;3
213;288.4090685;3
214;288.4957048;3
215;288.5866117;3
216;288.6518936;3
217;288.7007023;3
218;288.7360887;3
219;288.7470707;3
220;288.7470707;3
221;288.7403595;3
222;288.7214463;3
223;288.6970422;3
224;288.6525042;3
225;288.5780705;3
226;288.4993657;3
227;288.4127294;3
228;288.3218225;3
229;288.2565406;3
230;288.214443;3
231;288.1979698;3
232;288.2382371;3
233;288.3382956;3
234;288.4536071;3
235;288.5567165;3
236;288.62749;3
237;288.6494541;3
238;288.6427428;3
239;288.6238293;3
240;288.5994246;3
241;288.5683087;3
242;288.5317018;3
243;288.5018061;3
244;288.4505565;3
245;288.3572092;3
246;288.2541002;3
247;288.1766158;3
248;288.1625831;3
249;288.2138325;3
250;288.2870459;3
251;288.3535481;3
252;288.4078483;3
253;288.4566576;3
254;288.5054668;3
255;288.5408535;3
256;288.5518356;3
257;288.5719693;3
258;288.6287097;3
259;288.7019231;3
260;288.7684252;3
261;288.8025913;3
262;288.7946597;3
263;288.7501214;3
264;288.6756877;3
265;288.5969832;3
266;288.5170586;3
267;288.4450653;3
268;288.4041876;3
269;288.379783;3
270;288.3688009;3
271;288.3822235;3
272;288.4066281;3
273;288.4444553;3
274;288.4999758;3
275;288.5542761;3
276;288.6366416;3
277;288.7665958;3
278;288.8996005;3
279;289.0484681;3
280;289.2125885;3
281;289.3376617;3
282;289.4352797;3
283;289.5060527;3
284;289.5280168;3
285;289.5213055;3
286;289.5023919;3
287;289.4779873;3
288;289.4535827;3
289;289.4426006;3
290;289.4560231;3
291;289.4804278;3
292;289.5048324;3
293;289.5225257;3
294;289.5280168;3
295;289.5414392;3
296;289.579266;3
297;289.6280748;3
298;289.6970173;3
299;289.7891445;3
300;289.8733403;3
301;289.9532655;3
302;290.0252591;3
303;290.0661369;3
304;290.0972526;3
305;290.1338592;3
306;290.1637544;3
307;290.1881585;3
308;290.2259853;3
309;290.288217;3
310;290.3614309;3
311;290.4749123;3
312;290.6414735;3
313;290.8043739;3
314;290.9709348;3
315;291.133835;3
316;291.2399945;3
317;291.3400529;3
318;291.4687865;3
319;291.5828776;3
320;291.6804956;3
321;291.7512687;3
322;291.7732327;3
323;291.779944;3
324;291.7988576;3
325;291.8232622;3
326;291.8745118;3
327;291.9678591;3
328;292.0709682;3
329;292.1685862;3
330;292.2393593;3
331;292.2613233;3
332;292.2613233;3
333;292.2948795;3
334;292.3894471;3
335;292.5114697;3
336;292.6267811;3
337;292.6963339;3
338;292.6993844;3
339;292.6951136;3
340;292.734161;3
341;292.8018838;3
342;292.8885201;3
343;292.979427;3
344;293.0447089;3
345;293.1069402;3
346;293.1801537;3
347;293.239945;3
348;293.2887542;3
349;293.3711197;3
350;293.5144965;3
351;293.6853284;3
352;293.8561603;3
353;293.9800134;3
354;294.0184506;3
355;294.058718;3
356;294.1721987;3
357;294.3186255;3
358;294.4784748;3
359;294.6224614;3
360;294.7042167;3
361;294.753026;3
362;294.7884127;3
363;294.7993948;3
364;294.8396623;3
365;294.9531434;3
366;295.0995707;3
367;295.245998;3
368;295.385714;3
369;295.5132276;3
370;295.6352503;3
371;295.7908292;3
372;295.9738631;3
373;296.1233409;3
374;296.2923422;3
375;296.5132029;3
376;296.7114894;3
377;296.8957434;3
378;297.0574233;3
379;297.1446697;3
380;297.2337464;3
381;297.3826143;3
382;297.5400236;3
383;297.6864509;3
384;297.7926107;3
385;297.8255568;3
386;297.8255568;3
387;297.8389792;3
388;297.876806;3
389;297.9256148;3
390;297.9811348;3
391;298.0354348;3
392;298.0708214;3
393;298.0818036;3
394;298.0616701;3
395;298.0183524;3
396;298.009811;3
397;298.0879054;3
398;298.2233502;3
