time,value,datasource_id
1557670207753,"17.35",kit_trials_exp_1_05.11.2018_fo5
1557670208753,"17.35",kit_trials_exp_1_05.11.2018_fo5
1557670209753,"16.93",kit_trials_exp_1_05.11.2018_fo5
1557670210753,"16.93",kit_trials_exp_1_05.11.2018_fo5
1557670211753,"16.81",kit_trials_exp_1_05.11.2018_fo5
1557670212753,"16.81",kit_trials_exp_1_05.11.2018_fo5
1557670213753,"16.54",kit_trials_exp_1_05.11.2018_fo5
1557670214753,"16.54",kit_trials_exp_1_05.11.2018_fo5
1557670215753,"16.54",kit_trials_exp_1_05.11.2018_fo5
1557670216753,"16.66",kit_trials_exp_1_05.11.2018_fo5
