time;;datasource_id
0;293;0
1;293;0
2;293;0
3;293;0
4;293;0
5;293;0
6;293;0
7;293;0
8;292;0
9;292;0
10;292;0
11;293;0
12;293;0
13;293;0
14;293;0
15;293;0
16;293;0
17;293;0
18;293;0
19;293;0
20;294;0
21;294;0
22;294;0
23;293;0
24;293;0
25;293;0
26;293;0
27;293;0
28;293;0
29;293;0
30;293;0
31;293;0
32;293;0
33;293;0
34;293;0
35;293;0
36;293;0
37;293;0
38;293;0
39;293;0
40;293;0
41;293;0
42;293;0
43;293;0
44;293;0
45;293;0
46;293;0
47;293;0
48;293;0
49;293;0
50;293;0
51;293;0
52;293;0
53;293;0
54;293;0
55;293;0
56;293;0
57;293;0
58;293;0
59;293;0
60;293;0
61;293;0
62;293;0
63;293;0
64;293;0
65;293;0
66;293;0
67;293;0
68;293;0
69;293;0
70;293;0
71;293;0
72;293;0
73;293;0
74;293;0
75;293;0
76;293;0
77;292;0
78;292;0
79;292;0
80;292;0
81;292;0
82;292;0
83;292;0
84;292;0
85;292;0
86;292;0
87;292;0
88;292;0
89;292;0
90;292;0
91;292;0
92;292;0
93;292;0
94;292;0
95;292;0
96;293;0
97;293;0
98;293;0
99;293;0
100;293;0
101;293;0
102;293;0
103;293;0
104;293;0
105;293;0
106;293;0
107;293;0
108;293;0
109;293;0
110;293;0
111;293;0
112;292;0
113;292;0
114;292;0
115;292;0
116;292;0
117;292;0
118;292;0
119;292;0
120;292;0
121;292;0
122;292;0
123;292;0
124;292;0
125;292;0
126;292;0
127;292;0
128;292;0
129;292;0
130;292;0
131;292;0
132;292;0
133;292;0
134;293;0
135;293;0
136;293;0
137;293;0
138;293;0
139;293;0
140;293;0
141;293;0
142;293;0
143;293;0
144;292;0
145;292;0
146;292;0
147;293;0
148;293;0
149;293;0
150;292;0
151;292;0
152;292;0
153;293;0
154;293;0
155;293;0
156;293;0
157;293;0
158;293;0
159;293;0
160;293;0
161;293;0
162;293;0
163;293;0
164;293;0
165;293;0
166;293;0
167;293;0
168;293;0
169;293;0
170;293;0
171;293;0
172;293;0
173;293;0
174;293;0
175;293;0
176;293;0
177;293;0
178;292;0
179;292;0
180;292;0
181;293;0
182;293;0
183;293;0
184;293;0
185;293;0
186;293;0
187;293;0
188;293;0
189;293;0
190;293;0
191;293;0
192;293;0
193;293;0
194;293;0
195;293;0
196;293;0
197;293;0
198;293;0
199;293;0
200;292;0
201;292;0
202;292;0
203;292;0
204;292;0
205;292;0
206;292;0
207;292;0
