time;;datasource_id
1;18.83;201803
2;18.83;201803
3;17.69;201803
4;17.69;201803
5;17.68;201803
6;17.68;201803
7;18.01;201803
8;18.01;201803
9;18.52;201803
10;18.52;201803
11;18.52;201803
12;18;201803
13;18;201803
14;17.69;201803
15;17.69;201803
16;18.31;201803
17;18.31;201803
18;18.1;201803
19;18.1;201803
20;18.22;201803
21;18.22;201803
22;18.22;201803
23;17.69;201803
24;17.69;201803
25;17.88;201803
26;17.88;201803
27;17.6;201803
28;17.6;201803
29;17.68;201803
30;17.68;201803
31;18.01;201803
32;18.01;201803
33;18.01;201803
34;18.51;201803
35;18.51;201803
36;17.09;201803
37;17.09;201803
38;18.31;201803
39;18.31;201803
40;18.31;201803
41;17.27;201803
42;17.27;201803
43;18.52;201803
44;18.52;201803
45;18.1;201803
46;18.1;201803
47;18.51;201803
48;18.51;201803
49;17.68;201803
50;17.68;201803
51;17.27;201803
52;17.27;201803
53;17.88;201803
54;17.88;201803
55;18.21;201803
56;18.21;201803
57;17.58;201803
58;17.58;201803
59;17.58;201803
60;18;201803
61;18;201803
62;18;201803
63;18;201803
64;17.9;201803
65;17.9;201803
66;17.79;201803
67;17.79;201803
68;17.9;201803
69;17.9;201803
70;18.1;201803
71;18.1;201803
72;18.61;201803
73;18.61;201803
74;18.61;201803
75;18.28;201803
76;18.28;201803
77;17.8;201803
78;17.8;201803
79;18;201803
80;18;201803
81;17.47;201803
82;17.47;201803
83;16.96;201803
84;16.96;201803
85;16.96;201803
86;17.68;201803
87;17.68;201803
88;17.88;201803
89;17.88;201803
90;17.79;201803
91;17.79;201803
92;18.31;201803
93;18.31;201803
94;17.88;201803
95;17.88;201803
96;17.9;201803
97;17.9;201803
98;17.27;201803
99;17.27;201803
100;17.38;201803
101;17.38;201803
102;18;201803
103;18;201803
104;17.79;201803
105;17.79;201803
106;17.38;201803
107;17.38;201803
108;17.38;201803
109;17.06;201803
110;17.06;201803
111;17.9;201803
112;17.9;201803
113;17.58;201803
114;17.58;201803
115;17.9;201803
116;17.9;201803
117;18.21;201803
118;18.21;201803
119;18.21;201803
120;17.47;201803
121;17.47;201803
122;17.46;201803
123;17.46;201803
124;17.79;201803
125;17.79;201803
126;17.65;201803
127;17.65;201803
128;18.09;201803
129;18.09;201803
130;18;201803
131;18;201803
132;17.58;201803
133;17.58;201803
134;18.3;201803
135;18.3;201803
136;18.3;201803
137;17.88;201803
138;17.88;201803
139;16.2;201803
140;16.2;201803
141;15.96;201803
142;15.96;201803
143;18.71;201803
144;18.71;201803
145;16.65;201803
146;16.65;201803
147;18.82;201803
148;18.82;201803
149;18.82;201803
150;17.99;201803
151;17.99;201803
152;12.54;201803
153;12.54;201803
154;16.95;201803
155;16.95;201803
156;11.21;201803
157;11.21;201803
158;10.2;201803
159;10.2;201803
160;9.8;201803
161;9.8;201803
162;10.81;201803
163;10.81;201803
164;10.81;201803
165;11.21;201803
166;11.21;201803
167;9.48;201803
168;9.48;201803
169;9.89;201803
170;9.89;201803
171;10.31;201803
172;10.31;201803
173;10.21;201803
174;10.21;201803
175;9.26;201803
176;11.32;201803
177;11.32;201803
178;9.46;201803
179;9.46;201803
180;10.42;201803
181;10.42;201803
182;10.24;201803
183;10.24;201803
184;9.58;201803
185;10.3;201803
186;10.3;201803
187;10.61;201803
188;10.61;201803
189;10.72;201803
190;10.72;201803
191;10.51;201803
192;10.71;201803
193;10.71;201803
194;9.89;201803
195;9.89;201803
196;9.89;201803
197;9.89;201803
198;10.3;201803
199;10.42;201803
200;10.42;201803
201;11.22;201803
202;11.22;201803
203;10.51;201803
204;10.51;201803
205;10.46;201803
206;11.01;201803
207;11.01;201803
208;10.51;201803
209;10.51;201803
210;10.61;201803
211;10.61;201803
212;9.79;201803
213;9.89;201803
214;9.89;201803
215;9.89;201803
216;9.89;201803
217;11.11;201803
218;11.11;201803
219;9.37;201803
220;9.37;201803
221;9.68;201803
222;13.27;201803
223;13.27;201803
224;11.02;201803
225;11.02;201803
226;11.12;201803
227;11.12;201803
228;10.42;201803
229;11.41;201803
230;11.41;201803
231;10.72;201803
232;10.72;201803
233;10.93;201803
234;10.93;201803
235;11.63;201803
236;11.63;201803
237;11.53;201803
238;10.93;201803
239;10.93;201803
240;10.51;201803
241;10.51;201803
242;10.7;201803
243;10.51;201803
244;10.51;201803
245;10.3;201803
246;10.3;201803
247;9.67;201803
248;9.67;201803
249;10.92;201803
250;11.53;201803
251;11.53;201803
252;11.41;201803
253;11.41;201803
254;10.42;201803
255;10.42;201803
256;9.57;201803
257;9.57;201803
258;10.71;201803
259;10.71;201803
260;9.25;201803
261;10.5;201803
262;10.5;201803
263;11.01;201803
264;11.01;201803
265;10.71;201803
266;11.21;201803
267;11.21;201803
268;10.21;201803
269;10.21;201803
270;10.33;201803
271;10.33;201803
272;10.33;201803
273;9.79;201803
274;9.79;201803
275;11.01;201803
276;11.01;201803
277;9.67;201803
278;9.67;201803
279;9.89;201803
280;9.89;201803
281;9.99;201803
282;9.99;201803
283;10.61;201803
284;10.61;201803
285;10.47;201803
286;10.47;201803
287;10.2;201803
288;10.2;201803
289;11.41;201803
290;11.41;201803
291;11.92;201803
292;11.92;201803
293;12.04;201803
294;12.04;201803
295;12.04;201803
296;11.74;201803
297;11.74;201803
298;11.84;201803
299;11.84;201803
300;12.24;201803
301;12.24;201803
302;11.93;201803
303;11.93;201803
304;12.24;201803
305;12.24;201803
306;12.56;201803
307;12.56;201803
308;12.56;201803
309;14.11;201803
310;14.11;201803
311;12.15;201803
312;12.15;201803
313;13.18;201803
314;13.18;201803
315;13.48;201803
316;13.48;201803
317;14.22;201803
318;14.22;201803
319;15.15;201803
320;15.15;201803
321;15.15;201803
322;14.74;201803
323;14.74;201803
324;13.89;201803
325;13.89;201803
326;15.15;201803
327;15.15;201803
328;15.23;201803
329;15.23;201803
330;15.02;201803
331;15.02;201803
332;15.02;201803
333;16.38;201803
334;16.38;201803
335;16.86;201803
336;16.86;201803
337;16.57;201803
338;16.57;201803
339;16.57;201803
340;16.75;201803
341;16.75;201803
342;17.68;201803
343;17.68;201803
344;17.75;201803
345;17.75;201803
346;18.2;201803
347;18.2;201803
348;18.71;201803
349;18.71;201803
350;18.91;201803
351;18.91;201803
352;18.91;201803
353;19.13;201803
354;19.13;201803
355;19.21;201803
356;19.21;201803
357;19.43;201803
358;19.43;201803
359;19.22;201803
360;19.22;201803
361;20.14;201803
362;20.14;201803
363;19.56;201803
364;19.56;201803
365;20.05;201803
366;20.05;201803
367;20.05;201803
368;20.78;201803
369;20.78;201803
370;21.29;201803
371;21.29;201803
372;21.19;201803
373;21.19;201803
374;20.68;201803
375;20.68;201803
376;21.82;201803
377;21.82;201803
378;21.82;201803
379;21.61;201803
380;21.61;201803
381;21.82;201803
382;21.82;201803
383;22.73;201803
384;22.73;201803
385;21.81;201803
386;21.81;201803
387;21.83;201803
388;21.83;201803
389;21.83;201803
390;22.11;201803
391;22.11;201803
392;22.73;201803
393;22.73;201803
394;22.83;201803
395;22.83;201803
396;23.36;201803
397;23.36;201803
398;24.17;201803
399;24.17;201803
400;23.96;201803
401;23.96;201803
402;23.96;201803
403;25.12;201803
404;25.12;201803
405;24.28;201803
406;24.28;201803
407;24.49;201803
408;24.49;201803
409;25.2;201803
410;25.2;201803
411;25.2;201803
412;25.63;201803
413;25.63;201803
414;25;201803
415;25;201803
416;25.51;201803
417;25.51;201803
418;25.72;201803
419;25.72;201803
420;25.73;201803
421;25.73;201803
422;25.52;201803
423;25.52;201803
424;26.25;201803
425;26.25;201803
426;26.25;201803
427;25.92;201803
428;25.92;201803
429;25.72;201803
430;25.72;201803
431;27.18;201803
432;27.18;201803
433;25.72;201803
434;25.72;201803
435;26.86;201803
436;26.86;201803
437;26.86;201803
438;27.39;201803
439;27.39;201803
440;28.36;201803
441;28.36;201803
442;28.28;201803
443;28.28;201803
444;29.91;201803
445;29.91;201803
446;30.44;201803
447;30.44;201803
448;30.44;201803
449;31.89;201803
450;31.89;201803
451;32.19;201803
452;32.19;201803
453;32.19;201803
454;32.19;201803
455;33.72;201803
456;33.72;201803
457;32.6;201803
458;32.6;201803
459;33.72;201803
460;33.72;201803
461;34.33;201803
462;34.33;201803
463;35.06;201803
464;35.06;201803
465;35.06;201803
466;35.06;201803
467;35.06;201803
468;36.52;201803
469;36.52;201803
470;36.73;201803
471;36.73;201803
472;37.13;201803
473;37.13;201803
474;38.16;201803
475;38.16;201803
476;36.93;201803
477;36.93;201803
478;36.93;201803
479;38.06;201803
480;38.06;201803
481;38.96;201803
482;38.96;201803
483;39.26;201803
484;39.26;201803
485;39.26;201803
486;39.88;201803
487;39.88;201803
488;39.46;201803
489;39.46;201803
490;39.88;201803
491;39.88;201803
492;40.18;201803
493;40.18;201803
494;41.23;201803
495;41.23;201803
496;43.61;201803
497;43.61;201803
498;44.22;201803
499;44.22;201803
500;45.01;201803
501;45.01;201803
502;45.01;201803
503;46.45;201803
504;46.45;201803
505;47.92;201803
506;47.92;201803
507;47.92;201803
508;47.92;201803
509;48.54;201803
510;48.54;201803
511;50.05;201803
512;50.05;201803
513;49.93;201803
514;49.93;201803
515;49.93;201803
516;50.77;201803
517;50.77;201803
518;52.12;201803
519;52.12;201803
520;52.94;201803
521;52.94;201803
522;52.94;201803
523;52.73;201803
524;52.73;201803
525;54.88;201803
526;54.88;201803
527;55;201803
528;55;201803
529;55.61;201803
530;55.61;201803
531;55.61;201803
532;55.7;201803
533;55.7;201803
534;57.15;201803
535;57.15;201803
536;56.53;201803
537;56.53;201803
538;58.68;201803
539;58.68;201803
540;60.04;201803
541;60.04;201803
542;63.3;201803
543;63.3;201803
544;66.31;201803
545;66.31;201803
546;66.31;201803
547;70.52;201803
548;70.52;201803
549;71.68;201803
550;71.68;201803
551;72.87;201803
552;72.87;201803
553;74.92;201803
554;74.92;201803
555;74.92;201803
556;78.31;201803
557;78.31;201803
558;79.77;201803
559;79.77;201803
560;80.92;201803
561;80.92;201803
562;81.63;201803
563;81.63;201803
564;82.97;201803
565;82.97;201803
566;82.97;201803
567;84.99;201803
568;84.99;201803
569;85.47;201803
570;85.47;201803
571;86.87;201803
572;86.87;201803
573;87.99;201803
574;87.99;201803
575;89.72;201803
576;89.72;201803
577;89.81;201803
578;89.81;201803
579;89.81;201803
580;91.14;201803
581;91.14;201803
582;90.32;201803
583;90.32;201803
584;91.77;201803
585;91.77;201803
586;91.64;201803
587;91.64;201803
588;92.91;201803
589;92.91;201803
