time;;datasource_id
1;21.52;kit_trials_exp_1_05.11.2018_fo2
2;21.52;kit_trials_exp_1_05.11.2018_fo2
3;22.05;kit_trials_exp_1_05.11.2018_fo2
4;22.05;kit_trials_exp_1_05.11.2018_fo2
5;21.42;kit_trials_exp_1_05.11.2018_fo2
6;21.42;kit_trials_exp_1_05.11.2018_fo2
7;21.42;kit_trials_exp_1_05.11.2018_fo2
8;21.42;kit_trials_exp_1_05.11.2018_fo2
9;21;kit_trials_exp_1_05.11.2018_fo2
10;21;kit_trials_exp_1_05.11.2018_fo2
11;21;kit_trials_exp_1_05.11.2018_fo2
12;20.91;kit_trials_exp_1_05.11.2018_fo2
13;20.91;kit_trials_exp_1_05.11.2018_fo2
14;20.7;kit_trials_exp_1_05.11.2018_fo2
15;20.7;kit_trials_exp_1_05.11.2018_fo2
16;21.1;kit_trials_exp_1_05.11.2018_fo2
17;21.1;kit_trials_exp_1_05.11.2018_fo2
18;22.25;kit_trials_exp_1_05.11.2018_fo2
19;22.25;kit_trials_exp_1_05.11.2018_fo2
20;21.42;kit_trials_exp_1_05.11.2018_fo2
21;21.42;kit_trials_exp_1_05.11.2018_fo2
22;21.42;kit_trials_exp_1_05.11.2018_fo2
23;21.63;kit_trials_exp_1_05.11.2018_fo2
24;21.63;kit_trials_exp_1_05.11.2018_fo2
25;20.91;kit_trials_exp_1_05.11.2018_fo2
26;20.91;kit_trials_exp_1_05.11.2018_fo2
27;21.72;kit_trials_exp_1_05.11.2018_fo2
28;21.72;kit_trials_exp_1_05.11.2018_fo2
29;22.24;kit_trials_exp_1_05.11.2018_fo2
30;22.24;kit_trials_exp_1_05.11.2018_fo2
31;22.35;kit_trials_exp_1_05.11.2018_fo2
32;22.35;kit_trials_exp_1_05.11.2018_fo2
33;22.35;kit_trials_exp_1_05.11.2018_fo2
34;22.14;kit_trials_exp_1_05.11.2018_fo2
35;22.14;kit_trials_exp_1_05.11.2018_fo2
36;21.84;kit_trials_exp_1_05.11.2018_fo2
37;21.84;kit_trials_exp_1_05.11.2018_fo2
38;21.52;kit_trials_exp_1_05.11.2018_fo2
39;21.52;kit_trials_exp_1_05.11.2018_fo2
40;21.52;kit_trials_exp_1_05.11.2018_fo2
41;21.84;kit_trials_exp_1_05.11.2018_fo2
42;21.84;kit_trials_exp_1_05.11.2018_fo2
43;21.84;kit_trials_exp_1_05.11.2018_fo2
44;21.84;kit_trials_exp_1_05.11.2018_fo2
45;21.21;kit_trials_exp_1_05.11.2018_fo2
46;21.21;kit_trials_exp_1_05.11.2018_fo2
47;21.3;kit_trials_exp_1_05.11.2018_fo2
48;21.3;kit_trials_exp_1_05.11.2018_fo2
49;21.71;kit_trials_exp_1_05.11.2018_fo2
50;21.71;kit_trials_exp_1_05.11.2018_fo2
51;21.63;kit_trials_exp_1_05.11.2018_fo2
52;21.63;kit_trials_exp_1_05.11.2018_fo2
53;21.63;kit_trials_exp_1_05.11.2018_fo2
54;21.63;kit_trials_exp_1_05.11.2018_fo2
55;22.13;kit_trials_exp_1_05.11.2018_fo2
56;22.13;kit_trials_exp_1_05.11.2018_fo2
57;22.23;kit_trials_exp_1_05.11.2018_fo2
58;22.23;kit_trials_exp_1_05.11.2018_fo2
59;22.23;kit_trials_exp_1_05.11.2018_fo2
60;21.3;kit_trials_exp_1_05.11.2018_fo2
61;21.3;kit_trials_exp_1_05.11.2018_fo2
62;22.43;kit_trials_exp_1_05.11.2018_fo2
63;22.43;kit_trials_exp_1_05.11.2018_fo2
64;21;kit_trials_exp_1_05.11.2018_fo2
65;21;kit_trials_exp_1_05.11.2018_fo2
66;21.09;kit_trials_exp_1_05.11.2018_fo2
67;21.09;kit_trials_exp_1_05.11.2018_fo2
68;21.2;kit_trials_exp_1_05.11.2018_fo2
69;21.2;kit_trials_exp_1_05.11.2018_fo2
70;21.5;kit_trials_exp_1_05.11.2018_fo2
71;21.5;kit_trials_exp_1_05.11.2018_fo2
72;21.92;kit_trials_exp_1_05.11.2018_fo2
73;21.92;kit_trials_exp_1_05.11.2018_fo2
74;21.92;kit_trials_exp_1_05.11.2018_fo2
75;20.64;kit_trials_exp_1_05.11.2018_fo2
76;20.64;kit_trials_exp_1_05.11.2018_fo2
77;21.82;kit_trials_exp_1_05.11.2018_fo2
78;21.82;kit_trials_exp_1_05.11.2018_fo2
79;21.2;kit_trials_exp_1_05.11.2018_fo2
80;21.2;kit_trials_exp_1_05.11.2018_fo2
81;21.49;kit_trials_exp_1_05.11.2018_fo2
82;21.49;kit_trials_exp_1_05.11.2018_fo2
83;22.23;kit_trials_exp_1_05.11.2018_fo2
84;22.23;kit_trials_exp_1_05.11.2018_fo2
85;20.58;kit_trials_exp_1_05.11.2018_fo2
86;20.58;kit_trials_exp_1_05.11.2018_fo2
87;21.71;kit_trials_exp_1_05.11.2018_fo2
88;21.71;kit_trials_exp_1_05.11.2018_fo2
89;21.71;kit_trials_exp_1_05.11.2018_fo2
90;21.3;kit_trials_exp_1_05.11.2018_fo2
91;21.3;kit_trials_exp_1_05.11.2018_fo2
92;21.41;kit_trials_exp_1_05.11.2018_fo2
93;21.41;kit_trials_exp_1_05.11.2018_fo2
94;21.08;kit_trials_exp_1_05.11.2018_fo2
95;21.08;kit_trials_exp_1_05.11.2018_fo2
96;20.91;kit_trials_exp_1_05.11.2018_fo2
97;20.91;kit_trials_exp_1_05.11.2018_fo2
98;21.5;kit_trials_exp_1_05.11.2018_fo2
99;21.5;kit_trials_exp_1_05.11.2018_fo2
100;21.62;kit_trials_exp_1_05.11.2018_fo2
101;21.62;kit_trials_exp_1_05.11.2018_fo2
102;21.41;kit_trials_exp_1_05.11.2018_fo2
103;21.41;kit_trials_exp_1_05.11.2018_fo2
104;20.48;kit_trials_exp_1_05.11.2018_fo2
105;20.48;kit_trials_exp_1_05.11.2018_fo2
106;21.2;kit_trials_exp_1_05.11.2018_fo2
107;21.2;kit_trials_exp_1_05.11.2018_fo2
108;21.2;kit_trials_exp_1_05.11.2018_fo2
109;22.23;kit_trials_exp_1_05.11.2018_fo2
110;22.23;kit_trials_exp_1_05.11.2018_fo2
111;21.71;kit_trials_exp_1_05.11.2018_fo2
112;21.71;kit_trials_exp_1_05.11.2018_fo2
113;21.81;kit_trials_exp_1_05.11.2018_fo2
114;21.81;kit_trials_exp_1_05.11.2018_fo2
115;22.13;kit_trials_exp_1_05.11.2018_fo2
116;22.13;kit_trials_exp_1_05.11.2018_fo2
117;22.23;kit_trials_exp_1_05.11.2018_fo2
118;22.23;kit_trials_exp_1_05.11.2018_fo2
119;22.23;kit_trials_exp_1_05.11.2018_fo2
120;22.13;kit_trials_exp_1_05.11.2018_fo2
121;22.13;kit_trials_exp_1_05.11.2018_fo2
122;21.2;kit_trials_exp_1_05.11.2018_fo2
123;21.2;kit_trials_exp_1_05.11.2018_fo2
124;22.24;kit_trials_exp_1_05.11.2018_fo2
125;22.24;kit_trials_exp_1_05.11.2018_fo2
126;22.72;kit_trials_exp_1_05.11.2018_fo2
127;22.72;kit_trials_exp_1_05.11.2018_fo2
128;18.11;kit_trials_exp_1_05.11.2018_fo2
129;18.11;kit_trials_exp_1_05.11.2018_fo2
130;16.69;kit_trials_exp_1_05.11.2018_fo2
131;16.69;kit_trials_exp_1_05.11.2018_fo2
132;21.09;kit_trials_exp_1_05.11.2018_fo2
133;21.09;kit_trials_exp_1_05.11.2018_fo2
134;17.19;kit_trials_exp_1_05.11.2018_fo2
135;17.19;kit_trials_exp_1_05.11.2018_fo2
136;17.19;kit_trials_exp_1_05.11.2018_fo2
137;17.07;kit_trials_exp_1_05.11.2018_fo2
138;17.07;kit_trials_exp_1_05.11.2018_fo2
139;16.06;kit_trials_exp_1_05.11.2018_fo2
140;16.06;kit_trials_exp_1_05.11.2018_fo2
141;16.36;kit_trials_exp_1_05.11.2018_fo2
142;16.36;kit_trials_exp_1_05.11.2018_fo2
143;16.27;kit_trials_exp_1_05.11.2018_fo2
144;16.27;kit_trials_exp_1_05.11.2018_fo2
145;15.75;kit_trials_exp_1_05.11.2018_fo2
146;15.75;kit_trials_exp_1_05.11.2018_fo2
147;15.66;kit_trials_exp_1_05.11.2018_fo2
148;15.66;kit_trials_exp_1_05.11.2018_fo2
149;15.66;kit_trials_exp_1_05.11.2018_fo2
150;16.48;kit_trials_exp_1_05.11.2018_fo2
151;16.48;kit_trials_exp_1_05.11.2018_fo2
152;14.82;kit_trials_exp_1_05.11.2018_fo2
153;14.82;kit_trials_exp_1_05.11.2018_fo2
154;15.55;kit_trials_exp_1_05.11.2018_fo2
155;15.55;kit_trials_exp_1_05.11.2018_fo2
156;16.48;kit_trials_exp_1_05.11.2018_fo2
157;16.48;kit_trials_exp_1_05.11.2018_fo2
158;16.38;kit_trials_exp_1_05.11.2018_fo2
159;16.38;kit_trials_exp_1_05.11.2018_fo2
160;15.66;kit_trials_exp_1_05.11.2018_fo2
161;15.66;kit_trials_exp_1_05.11.2018_fo2
162;16.27;kit_trials_exp_1_05.11.2018_fo2
163;16.27;kit_trials_exp_1_05.11.2018_fo2
164;16.27;kit_trials_exp_1_05.11.2018_fo2
165;15.66;kit_trials_exp_1_05.11.2018_fo2
166;15.66;kit_trials_exp_1_05.11.2018_fo2
167;15.24;kit_trials_exp_1_05.11.2018_fo2
168;15.24;kit_trials_exp_1_05.11.2018_fo2
169;15.55;kit_trials_exp_1_05.11.2018_fo2
170;15.55;kit_trials_exp_1_05.11.2018_fo2
171;17.28;kit_trials_exp_1_05.11.2018_fo2
172;17.28;kit_trials_exp_1_05.11.2018_fo2
173;15.86;kit_trials_exp_1_05.11.2018_fo2
174;15.86;kit_trials_exp_1_05.11.2018_fo2
175;14.94;kit_trials_exp_1_05.11.2018_fo2
176;14.95;kit_trials_exp_1_05.11.2018_fo2
177;14.95;kit_trials_exp_1_05.11.2018_fo2
178;15.85;kit_trials_exp_1_05.11.2018_fo2
179;15.85;kit_trials_exp_1_05.11.2018_fo2
180;15.95;kit_trials_exp_1_05.11.2018_fo2
181;15.95;kit_trials_exp_1_05.11.2018_fo2
182;15.96;kit_trials_exp_1_05.11.2018_fo2
183;15.96;kit_trials_exp_1_05.11.2018_fo2
184;15.86;kit_trials_exp_1_05.11.2018_fo2
185;15.74;kit_trials_exp_1_05.11.2018_fo2
186;15.74;kit_trials_exp_1_05.11.2018_fo2
187;15.24;kit_trials_exp_1_05.11.2018_fo2
188;15.24;kit_trials_exp_1_05.11.2018_fo2
189;16.06;kit_trials_exp_1_05.11.2018_fo2
190;16.06;kit_trials_exp_1_05.11.2018_fo2
191;15.35;kit_trials_exp_1_05.11.2018_fo2
192;15.95;kit_trials_exp_1_05.11.2018_fo2
193;15.95;kit_trials_exp_1_05.11.2018_fo2
194;15.86;kit_trials_exp_1_05.11.2018_fo2
195;15.86;kit_trials_exp_1_05.11.2018_fo2
196;15.96;kit_trials_exp_1_05.11.2018_fo2
197;15.96;kit_trials_exp_1_05.11.2018_fo2
198;15.45;kit_trials_exp_1_05.11.2018_fo2
199;16.68;kit_trials_exp_1_05.11.2018_fo2
200;16.68;kit_trials_exp_1_05.11.2018_fo2
201;16.76;kit_trials_exp_1_05.11.2018_fo2
202;16.76;kit_trials_exp_1_05.11.2018_fo2
203;16.89;kit_trials_exp_1_05.11.2018_fo2
204;16.57;kit_trials_exp_1_05.11.2018_fo2
205;16.57;kit_trials_exp_1_05.11.2018_fo2
206;15.95;kit_trials_exp_1_05.11.2018_fo2
207;15.95;kit_trials_exp_1_05.11.2018_fo2
208;16.57;kit_trials_exp_1_05.11.2018_fo2
209;16.57;kit_trials_exp_1_05.11.2018_fo2
210;15.55;kit_trials_exp_1_05.11.2018_fo2
211;15.55;kit_trials_exp_1_05.11.2018_fo2
212;16.06;kit_trials_exp_1_05.11.2018_fo2
213;15.02;kit_trials_exp_1_05.11.2018_fo2
214;15.02;kit_trials_exp_1_05.11.2018_fo2
215;16.7;kit_trials_exp_1_05.11.2018_fo2
216;16.7;kit_trials_exp_1_05.11.2018_fo2
217;15.24;kit_trials_exp_1_05.11.2018_fo2
218;15.24;kit_trials_exp_1_05.11.2018_fo2
219;15.75;kit_trials_exp_1_05.11.2018_fo2
220;15.75;kit_trials_exp_1_05.11.2018_fo2
221;23.15;kit_trials_exp_1_05.11.2018_fo2
222;17.18;kit_trials_exp_1_05.11.2018_fo2
223;17.18;kit_trials_exp_1_05.11.2018_fo2
224;16.57;kit_trials_exp_1_05.11.2018_fo2
225;16.57;kit_trials_exp_1_05.11.2018_fo2
226;17.6;kit_trials_exp_1_05.11.2018_fo2
227;17.6;kit_trials_exp_1_05.11.2018_fo2
228;15.85;kit_trials_exp_1_05.11.2018_fo2
229;17.07;kit_trials_exp_1_05.11.2018_fo2
230;17.07;kit_trials_exp_1_05.11.2018_fo2
231;16.89;kit_trials_exp_1_05.11.2018_fo2
232;16.89;kit_trials_exp_1_05.11.2018_fo2
233;16.67;kit_trials_exp_1_05.11.2018_fo2
234;16.67;kit_trials_exp_1_05.11.2018_fo2
235;16.57;kit_trials_exp_1_05.11.2018_fo2
236;16.57;kit_trials_exp_1_05.11.2018_fo2
237;15.75;kit_trials_exp_1_05.11.2018_fo2
238;14.94;kit_trials_exp_1_05.11.2018_fo2
239;14.94;kit_trials_exp_1_05.11.2018_fo2
240;16.27;kit_trials_exp_1_05.11.2018_fo2
241;16.27;kit_trials_exp_1_05.11.2018_fo2
242;16.32;kit_trials_exp_1_05.11.2018_fo2
243;15.95;kit_trials_exp_1_05.11.2018_fo2
244;15.95;kit_trials_exp_1_05.11.2018_fo2
245;15.85;kit_trials_exp_1_05.11.2018_fo2
246;15.85;kit_trials_exp_1_05.11.2018_fo2
247;15.95;kit_trials_exp_1_05.11.2018_fo2
248;15.95;kit_trials_exp_1_05.11.2018_fo2
249;15.24;kit_trials_exp_1_05.11.2018_fo2
250;15.74;kit_trials_exp_1_05.11.2018_fo2
251;15.74;kit_trials_exp_1_05.11.2018_fo2
252;15.55;kit_trials_exp_1_05.11.2018_fo2
253;15.55;kit_trials_exp_1_05.11.2018_fo2
254;15.32;kit_trials_exp_1_05.11.2018_fo2
255;15.32;kit_trials_exp_1_05.11.2018_fo2
256;15.74;kit_trials_exp_1_05.11.2018_fo2
257;15.74;kit_trials_exp_1_05.11.2018_fo2
258;15.74;kit_trials_exp_1_05.11.2018_fo2
259;15.74;kit_trials_exp_1_05.11.2018_fo2
260;16.97;kit_trials_exp_1_05.11.2018_fo2
261;16.96;kit_trials_exp_1_05.11.2018_fo2
262;16.96;kit_trials_exp_1_05.11.2018_fo2
263;16.59;kit_trials_exp_1_05.11.2018_fo2
