time;value;datasource_id
1;0;kit_trials_exp_1_05.11.2018_fo7
2;16.39;kit_trials_exp_1_05.11.2018_fo7
3;15.44;kit_trials_exp_1_05.11.2018_fo7
4;15.44;kit_trials_exp_1_05.11.2018_fo7
5;15.87;kit_trials_exp_1_05.11.2018_fo7
6;15.87;kit_trials_exp_1_05.11.2018_fo7
7;15.97;kit_trials_exp_1_05.11.2018_fo7
8;15.97;kit_trials_exp_1_05.11.2018_fo7
9;15.97;kit_trials_exp_1_05.11.2018_fo7
10;15.86;kit_trials_exp_1_05.11.2018_fo7
11;15.86;kit_trials_exp_1_05.11.2018_fo7
12;16.26;kit_trials_exp_1_05.11.2018_fo7
13;16.26;kit_trials_exp_1_05.11.2018_fo7
14;16.76;kit_trials_exp_1_05.11.2018_fo7
15;16.76;kit_trials_exp_1_05.11.2018_fo7
16;15.54;kit_trials_exp_1_05.11.2018_fo7
17;15.54;kit_trials_exp_1_05.11.2018_fo7
18;16.47;kit_trials_exp_1_05.11.2018_fo7
19;16.47;kit_trials_exp_1_05.11.2018_fo7
20;16.47;kit_trials_exp_1_05.11.2018_fo7
21;15.54;kit_trials_exp_1_05.11.2018_fo7
22;15.54;kit_trials_exp_1_05.11.2018_fo7
23;16.37;kit_trials_exp_1_05.11.2018_fo7
24;16.37;kit_trials_exp_1_05.11.2018_fo7
25;16.05;kit_trials_exp_1_05.11.2018_fo7
26;16.05;kit_trials_exp_1_05.11.2018_fo7
27;16.16;kit_trials_exp_1_05.11.2018_fo7
28;16.16;kit_trials_exp_1_05.11.2018_fo7
29;15.87;kit_trials_exp_1_05.11.2018_fo7
30;15.87;kit_trials_exp_1_05.11.2018_fo7
31;16.15;kit_trials_exp_1_05.11.2018_fo7
32;16.15;kit_trials_exp_1_05.11.2018_fo7
33;16.15;kit_trials_exp_1_05.11.2018_fo7
34;16.37;kit_trials_exp_1_05.11.2018_fo7
35;16.37;kit_trials_exp_1_05.11.2018_fo7
36;16.37;kit_trials_exp_1_05.11.2018_fo7
37;16.37;kit_trials_exp_1_05.11.2018_fo7
38;16.26;kit_trials_exp_1_05.11.2018_fo7
39;16.26;kit_trials_exp_1_05.11.2018_fo7
40;16.26;kit_trials_exp_1_05.11.2018_fo7
41;15.96;kit_trials_exp_1_05.11.2018_fo7
42;15.96;kit_trials_exp_1_05.11.2018_fo7
43;16.05;kit_trials_exp_1_05.11.2018_fo7
44;16.05;kit_trials_exp_1_05.11.2018_fo7
45;16.05;kit_trials_exp_1_05.11.2018_fo7
46;16.05;kit_trials_exp_1_05.11.2018_fo7
47;15.65;kit_trials_exp_1_05.11.2018_fo7
48;15.65;kit_trials_exp_1_05.11.2018_fo7
49;16.96;kit_trials_exp_1_05.11.2018_fo7
50;16.96;kit_trials_exp_1_05.11.2018_fo7
51;16.05;kit_trials_exp_1_05.11.2018_fo7
52;16.05;kit_trials_exp_1_05.11.2018_fo7
53;16.37;kit_trials_exp_1_05.11.2018_fo7
54;16.37;kit_trials_exp_1_05.11.2018_fo7
55;15.96;kit_trials_exp_1_05.11.2018_fo7
56;15.96;kit_trials_exp_1_05.11.2018_fo7
57;15.34;kit_trials_exp_1_05.11.2018_fo7
58;15.34;kit_trials_exp_1_05.11.2018_fo7
59;15.34;kit_trials_exp_1_05.11.2018_fo7
60;15.64;kit_trials_exp_1_05.11.2018_fo7
61;15.64;kit_trials_exp_1_05.11.2018_fo7
62;15.13;kit_trials_exp_1_05.11.2018_fo7
63;15.13;kit_trials_exp_1_05.11.2018_fo7
64;15.34;kit_trials_exp_1_05.11.2018_fo7
65;15.34;kit_trials_exp_1_05.11.2018_fo7
66;15.65;kit_trials_exp_1_05.11.2018_fo7
67;15.65;kit_trials_exp_1_05.11.2018_fo7
68;16.25;kit_trials_exp_1_05.11.2018_fo7
69;16.25;kit_trials_exp_1_05.11.2018_fo7
70;16.37;kit_trials_exp_1_05.11.2018_fo7
71;16.37;kit_trials_exp_1_05.11.2018_fo7
72;16.37;kit_trials_exp_1_05.11.2018_fo7
